Rank,Taxon,Total
98,Agonidae,523.9
99,Argyropelecus hemigymnus,521.3
100,Lepidogobius lepidus,516.5
101,Icelinus quadriseriatus,512.1
102,Poromitra spp.,482.7
103,Zaniolepis spp.,470.4
104,Glyptocephalus zachirus,469.3
105,Ruscarius creaseri,469.0
106,Chilara taylori,467.1
107,Oxylebius pictus,452.0
108,Tactostoma macropus,444.1
108,Pleuronichthys coenosus,444.1
110,Gonostomatidae,436.3
111,Benthalbella dentata,424.5
112,Diogenichthys spp.,399.2
112,Semicossyphus pulcher,399.2
114,Lampadena urophaos,398.6
115,Scopelarchidae,381.3
116,Argyropelecus lychnus,381.0
117,Melamphaes parvus,377.7
118,Poromitra crassiceps,374.6
119,Rosenblattichthys volucris,338.3
120,Stomiiformes,321.4
121,Rathbunella spp.,304.2
122,Pleuronichthys ritteri,301.8
123,Bathophilus flemingi,295.5
124,Synodus lucioceps,294.2
125,Zaniolepis latipinnis,290.0
126,Howella spp.,288.2
127,Bathylagus milleri,284.3
128,Trachipterus altivelis,275.3
129,Cataetyx rubrirostris,259.1
130,Scopelarchus analis,255.8
131,Pleuronectiformes,245.8
132,Pleuronichthys decurrens,243.2
133,Cyclothone pseudopallida,239.4
134,Citharichthys xanthostigma,235.8
135,Ichthyococcus irregularis,224.7
136,Lythrypnus dalli,223.9
137,Xystreurys liolepis,212.8
138,Loweina rara,212.5
139,Stichaeidae,209.0
140,Cyclopteridae,208.4
141,Nannobrachium hawaiiensis,206.4
142,Medialuna californiensis,203.5
143,Blennioidei,200.9
144,Brama japonica,193.9
145,Pleuronichthys spp.,175.5
146,Girella nigricans,172.0
147,Gigantactis spp.,168.0
148,Syngnathus spp.,165.5
149,Scopelarchus spp.,164.5
150,Atherinidae,162.2
151,Cryptotrema corallinum,163.9
152,Argyropelecus spp.,161.7
153,Psettichthys melanostictus,152.1
154,Oneirodes spp.,145.8
155,Sebastolobus altivelis,143.5
156,Ceratioidei,137.7
157,Hypsopsetta guttulata,136.3
158,Lythrypnus zebra,123.1
159,Typhlogobius californiensis,120.8
160,Artedius lateralis,114.0
161,Macrouridae,111.8
162,Icosteus aenigmaticus,109.9
163,Zaniolepis frenata,107.1
164,Bathylagidae,106.2
165,Scopeloberyx robustus,106.0
166,Hygophum atratum,104.0
167,Parvilux ingens,102.3
168,Halichoeres semicinctus,99.7
169,Lampanyctus steinbecki,99.5
170,Etrumeus teres,99.3
171,Haemulidae,94.4
172,Icelinus spp.,93.8
173,Hypsoblennius gentilis,93.6
174,Scopelarchus guentheri,91.1
175,Neoclinus stephensae,89.2
176,Chitonotus pugetensis,88.3
177,Rathbunella alleni,86.3
178,Hygophum spp.,86.1
179,Lepidopsetta bilineata,83.2
180,Nannobrachium bristori,78.0
181,Xenistius californiensis,70.3
182,Atherinopsis californiensis,70.0
183,Xeneretmus latifrons,67.4
184,Ophiodon elongatus,65.2
185,Seriola lalandi,62.3
186,Melanostomiinae,60.4
186,Anguilliformes,60.4
188,Odontopyxis trispinosa,59.9
189,Artedius harringtoni,56.8
190,Liparis mucosus,56.6
191,Plectobranchus evides,55.1
192,Artedius fenestralis,53.3
193,Sarda chiliensis,51.3
194,Sebastolobus alascanus,51.1
195,Melamphaes simus,44.3
196,Pleuronectidae,43.1
197,Valenciennellus tripunctulatus,42.7
198,Citharichthys fragilis,42.6
199,Hexagrammidae,41.7
200,Gonichthys tenuiculus,38.0
201,Gempylidae,36.0
202,Diplospinus multistriatus,34.2
203,Atractoscion nobilis,33.4
204,Desmodema lorum,33.3
205,Scorpaena guttata,33.2
206,Anisotremus davidsoni,33.1
207,Cheilotrema saturnum,32.7
208,Photonectes spp.,32.6
209,Melamphaidae,31.4
210,Hypsoblennius gilberti,30.2
211,Centrobranchus nigroocellatus,29.4
212,Stemonosudis macrura,29.1
213,Oligocottus spp.,28.3
214,Hexagrammos decagrammus,28.0
215,Paricelinus hopliticus,27.2
216,Dolichopteryx longipes,25.5
217,Oneirodidae,24.5
218,Nansenia crassa,23.9
219,Platichthys stellatus,23.5
220,Macroramphosus gracilis,23.4
221,Isopsetta isolepis,21.6
222,Anoplarchus purpurescens,21.4
223,Bathyagonus pentacanthus,20.6
224,Caristius maderensis,20.1
225,Magnisudis atlantica,19.5
226,Psenes pellucidus,19.3
227,Leuresthes tenuis,19.2
228,Atherinops affinis,19.1
229,Cyema atrum,18.6
230,Diplophos taenia,18.5
231,Xeneretmus leiops,18.0
232,Dolopichthys spp.,17.8
233,Orthonopias triacis,15.6
234,Caulolatilus princeps,14.9
235,Eopsetta jordani,14.8
236,Nezumia spp.,14.6
237,Artedius spp.,13.8
238,Neoclinus spp.,13.7
239,Exocoetidae,13.3
240,Clinocottus analis,13.2
241,Eutaeniophorus festivus,12.8
242,Perciformes,12.6
243,Lepidopus fitchi,11.8
244,Macropinna microstoma,11.6
245,Cheilopogon pinnatibarbatus,10.7
246,Zoarcoidei,10.0
247,Embassichthys bathybius,9.9
247,Cubiceps baxteri,9.9
249,Gonostoma atlanticum,9.8
250,Carangidae,9.7
250,Gonostoma spp.,9.7
252,Coryphaena hippurus,9.3
252,Leptocephalus holti,9.3
254,Pomacentridae,9.2
255,Roncador stearnsii,9.1
255,Liparis spp.,9.1
257,Ophichthus zophochir,7.9
258,Hermosilla azurea,7.8
269,Gobiesocidae,7.7
260,Triphoturus nigrescens,7.5
260,Anoplopoma fimbria,7.5
262,Trichiuridae,6.5
263,Neoclinus blanchardi,5.6
264,Bolinichthys longipes,5.4
264,Eustomias spp.,5.4
264,Clupeiformes,5.4
267,Pholidae,5.3
267,Albatrossia pectoralis,5.3
269,Prionotus spp.,5.2
269,Bathophilus filifer,5.2
269,Lampanyctus tenuiformes,5.2
272,Coryphaena equiselis,5.1
273,Lepidocybium flavobrunneum,5.0
273,Lythrypnus spp.,5.0
273,Poromitra megalops,5.0
273,Myctophum lychnobium,5.0
273,Coryphaenoides acrolepis,5.0
273,Coryphaenoides leptolepis,5.0
279,Nealotus tripes,4.9
279,Aulorhynchus flavidus,4.9
279,Caulophryne spp.,4.9
282,Eutaeniophorus spp.,4.8
282,Cyematidae,4.8
282,Umbrina roncador,4.8
285,Ronquilus jordani,4.7
285,Gobiesox maeandricus,4.7
285,Liparis fucensis,4.7
285,Leptocephalus giganteus,4.7
286,Taaningichthys minimus,4.6
286,Gibbonsia spp.,4.6
291,Coryphaenoides spp.,4.5
291,Gonostoma ebelingi,4.5
293,Menticirrhus undulatus,4.4
293,Radiicephalus elongatus,4.4
295,Cryptopsaras couesii,4.3
295,Ilypnus gilberti,4.3
295,Hemilepidotus spinosus,4.3
298,Enophrys bison,4.1
299,Clevelandia ios,4.0
300,Physiculus spp.,3.3
301,Pronotogrammus multifasciatus,2.2
